name,location,category,budget,rating,special,image,distance,lat,lon,moods
Starbucks ,Civil Lines,Cafe,700,4.5,New Summer Drinks,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085,3,21.1535,79.0835,"Unexpected Friend Meetup, Chill with Coffee"
Corridor Seven Coffee Roasters,Dharampeth,Cafe,600,4.7,Fresh Roasted Coffee,https://images.unsplash.com/photo-1509042239860-f550ce710b93,4,21.1452,79.0605,"Unexpected Friend Meetup, Chill with Coffee"
Mocha Sky,Ramdaspeth,Cafe,900,4.4,Rooftop Evening Offer,https://images.unsplash.com/photo-1521017432531-fbd92d768814,5,21.131,79.079,"Unexpected Friend Meetup, Chill with Coffee"
Three Beans Coffee,Sadar,Cafe,500,4.5,Special Coffee Combo,https://images.unsplash.com/photo-1445116572660-236099ec97a0,4,21.163,79.0845,"Unexpected Friend Meetup, Chill with Coffee"
Cafe Zinea,Dharampeth,Cafe,450,4.3,Weekend Cafe Special,https://images.unsplash.com/photo-1453614512568-c4024d13c247,3,21.1475,79.0625,"Unexpected Friend Meetup, Chill with Coffee"
The Breakfast Story,Civil Lines,Cafe,650,4.6,All Day Breakfast,https://images.unsplash.com/photo-1554118811-1e0d58224f24,4,21.154,79.086,"Unexpected Friend Meetup, Chill with Coffee"
Coffee House Sadar,Sadar,Cafe,300,4.2,Classic Coffee Deal,https://images.unsplash.com/photo-1497636577773-f1231844b336,2,21.161,79.087,"Unexpected Friend Meetup, Chill with Coffee"
Haldiram's,Sitabuldi,Restaurant,600,4.4,Family Meal Combo,https://images.unsplash.com/photo-1504674900247-0877df9cc836,3,21.145,79.088,"Unexpected Friend Meetup, Chill with Coffee"
Barbeque Nation,Wardha Road,Restaurant,1200,4.5,Unlimited Buffet,https://images.unsplash.com/photo-1552566626-52f8b828add9,6,21.102,79.06,"Unexpected Friend Meetup, Chill with Coffee"
Naivedhyam,Sitabuldi,Restaurant,500,4.4,Traditional Thali Offer,https://images.unsplash.com/photo-1546069901-ba9599a7e63c,3,21.147,79.091,"Unexpected Friend Meetup, Chill with Coffee"
Ashoka Restaurant,Sadar,Restaurant,700,4.2,Special Dinner Menu,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4,4,21.162,79.086,"Unexpected Friend Meetup, Chill with Coffee"
Veeraswami,Dharampeth,Restaurant,650,4.3,South Indian Festival,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38,4,21.146,79.064,"Unexpected Friend Meetup, Chill with Coffee"
Absolute Barbecues,Wardha Road,Restaurant,1300,4.5,Live Grill Experience,https://images.unsplash.com/photo-1528605248644-14dd04022da1,7,21.104,79.061,"Unexpected Friend Meetup, Chill with Coffee"
The Creative Kitchen,Ramdaspeth,Restaurant,800,4.3,Chef Special Menu,https://images.unsplash.com/photo-1555396273-367ea4eb4db5,4,21.13,79.08,"Unexpected Friend Meetup, Chill with Coffee"
VR Mall,Medical Square,Mall,1500,4.5,Weekend Mega Sale,https://images.unsplash.com/photo-1441986300917-64674bd600d8,5,21.17,79.089,"Unexpected Friend Meetup, Chill with Coffee"
Empress Mall,Cotton Market,Mall,1200,4.2,Flat 40 Percent Off,https://images.unsplash.com/photo-1483985988355-763728e1935b,4,21.14,79.1,"Unexpected Friend Meetup, Chill with Coffee"
Trillium Mall,Medical Square,Mall,1400,4.4,Fashion Carnival,https://images.unsplash.com/photo-1521334884684-d80222895322,6,21.171,79.09,"Unexpected Friend Meetup, Chill with Coffee"
Eternity Mall,Wardha Road,Mall,1300,4.1,Shopping Festival,https://images.unsplash.com/photo-1519567241046-7f570eee3ce6,7,21.1,79.058,"Unexpected Friend Meetup, Chill with Coffee"
Futala Lake,Futala,Tourist Attraction,100,4.8,Best Sunset Spot,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,5,21.17,79.04,"Unexpected Friend Meetup, Chill with Coffee"
Ambazari Lake,Ambazari,Tourist Attraction,100,4.7,Lakeside Evening View,https://images.unsplash.com/photo-1506744038136-46273834b3fb,4,21.15,79.03,"Unexpected Friend Meetup, Chill with Coffee"
Deekshabhoomi,Ramdaspeth,Tourist Attraction,100,4.9,Historic Landmark,https://images.unsplash.com/photo-1524492412937-b28074a5d7da,3,21.128,79.075,"Unexpected Friend Meetup, Chill with Coffee"
Raman Science Centre,Civil Lines,Tourist Attraction,200,4.5,Science Exhibits,https://images.unsplash.com/photo-1516321318423-f06f85e504b3,4,21.151,79.086,"Unexpected Friend Meetup, Chill with Coffee"
Maharajbag Zoo,Seminary Hills,Tourist Attraction,100,4.3,Family Attraction,https://images.unsplash.com/photo-1546182990-dffeafbe841d,5,21.158,79.072,"Unexpected Friend Meetup, Chill with Coffee"
Dragon Palace Temple,Kamptee,Tourist Attraction,100,4.7,Peaceful Temple Visit,https://images.unsplash.com/photo-1512632578888-169bbbc64f33,12,21.23,79.2,"Unexpected Friend Meetup, Chill with Coffee"
Sitabuldi Fort,Sitabuldi,Tourist Attraction,100,4.2,Historic Fort Visit,https://images.unsplash.com/photo-1467269204594-9661b134dd2b,2,21.145,79.089,"Unexpected Friend Meetup, Chill with Coffee"
Zero Mile Stone,Civil Lines,Tourist Attraction,100,4.4,Center of India Landmark,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee,3,21.149,79.084,"Unexpected Friend Meetup, Chill with Coffee"
Japanese Garden,Koradi Road,Park,100,4.4,Evening Walk Spot,https://images.unsplash.com/photo-1441974231531-c6227db76b6e,8,21.19,79.06,"Unexpected Friend Meetup, Chill with Coffee"
Telankhedi Garden,Telankhedi,Park,100,4.3,Family Picnic Area,https://images.unsplash.com/photo-1501785888041-af3ef285b470,5,21.165,79.055,"Unexpected Friend Meetup, Chill with Coffee"
Ambazari Biodiversity Park,Ambazari,Park,150,4.6,Nature Trail Experience,https://images.unsplash.com/photo-1448375240586-882707db888b,6,21.152,79.025,"Unexpected Friend Meetup, Chill with Coffee"
